scientific_name;common_name;taxon_id
Carex otrubae;Sylt-star;400433
Astragalus glycyphyllos;Sød astragel;158900
Schoenoplectus lacustris;Sø-kogleaks;168628
Potentilla argentea;Sølv-potentil;124552
Vicia tetrasperma;Tadder-vikke;57310
Phragmites australis;Tagrør;64237
Danthonia decumbens;Tandbælg;76603
Cardamine bulbifera;Tandrod;124720
Aira praecox;Tidlig dværgbunke;61058
Ranunculus sceleratus;Tigger-ranunkel;59301
Viscaria vulgaris;Tjærenellike;741459
Vicia hirsuta;Tofrøet vikke;56188
Carex paniculata;Top-star;208495
Carex disticha;Toradet star;159935
Vaccinium oxycoccos;Tranebær;126560
Saxifraga tridactylites;Trekløft-stenbræk;168479
Eriophorum vaginatum;Tue-Kæruld;128735
Carex cespitosa;Tue-star;487827
Bellis perennis;Tusindfryd;55563
Valeriana dioica;Tvebo baldrian;170112
Carex dioica;Tvebo star;437963
Veronica chamaedrys;Tveskægget ærenpris;51610
Veronica beccabunga;Tykbladet ærenpris;54333
Orchis mascula;Tyndakset gøgeurt;132621
Vaccinium vitis-idaea;Tyttebær;56312
Frangula alnus;Tørst;55972
Aira caryophyllea;Udspærret dværgbunke;52694
Cardamine amara;Vandkarse;132481
Mentha aquatica;Vand-mynte;77990
Rumex hydrolapathum;Vand-skræppe;371574
Hedera helix;Vedbend;55882
Veronica hederifolia;Vedbend-Ærenpris;56129
Anthoxanthum odoratum;Vellugtende gulaks;75475
Pinguicula vulgaris;Vibefedt;121266
Anthriscus sylvestris;Vild kørvel;124544
Quercus petraea;Vinter-eg;200942
Betula pendula;Vortebirk;83992
Ficaria verna;Vorterod;204321
Senecio vernalis;Vår-brandbæger;336378
Pulsatilla vernalis;Vår-kobjælde;60905
Carex caryophyllea;Vår-star;159906
Vicia lathyroides;Vår-vikke;79503
Avenella flexuosa;wavy hair-grass;288069
Pteridium aquilinum;Ørnebregne;52681
