scientific_name;common_name;taxon_id;;;;;;;;;
Cardamine pratensis;Engkarse;54531;;;;;;;;;TRUE
Geum rivale;Engnellikerod;55750;;;;;;;;;TRUE
Poa pratensis;Eng-rapgræs;60307;;;;;;;;;TRUE
Crataegus monogyna;Éngriflet hvidtjørn;51147;;;;;;;;;FALSE
Phleum pratense;Eng-Rottehale;57190;;;;;;;;;TRUE
Alopecurus pratensis;Eng-rævehale;71141;;;;;;;;;FALSE
Calamagrostis canescens;Eng-rørhvene;196930;;;;;;;;;FALSE
Viola palustris;Eng-viol;79514;;;;;;;;;TRUE
Eleocharis uniglumis;Enskællet sumpstrå;162264;;;;;;;;;TRUE
Poa annua;Enårig rapgræs;52808;;;;;;;;;TRUE
Genista tinctoria;Farve-visse;163222;;;;;;;;;TRUE
Geum urbanum;Feber-nellikerod;55891;;;;;;;;;TRUE
Cerastium semidecandrum;Femhannet hønsetarm;160343;;;;;;;;;TRUE
Trifolium dubium;Fin kløver;53313;;;;;;;;;FALSE
Paris quadrifolia;Firblad;123666;;;;;;;;;FALSE
Cerastium diffusum;Firehannet hønsetarm;76220;;;;;;;;;TRUE
Athyrium filix-femina;Fjerbregne;52669;;;;;;;;;TRUE
Carex distans;Fjernakset star;159933;;;;;;;;;FALSE
Primula elatior;Fladkravet kodriver;55840;;;;;;;;;TRUE
Poa compressa;Fladstrået rapgræs;78636;;;;;;;;;TRUE
Plantago coronopus;Fliget vejbred;58960;;;;;;;;;TRUE
Teesdalia nudicaulis;Flipkrave;79325;;;;;;;;;FALSE
Holcus lanatus;Fløjlsgræs;52793;;;;;;;;;FALSE
Vicia sativa;Fodervikke;53324;;;;;;;;;TRUE
Prunus avium;Fugle-kirsebær;61964;;;;;;;;;TRUE
Festuca ovina;Fåre-svingel;125903;;;;;;;;;
Juncus articulatus;Glanskapslet siv;77552;;;;;;;;;
Phleum phleoides;Glat rottehale;361313;;;;;;;;;
Plantago major;Glat vejbred;58961;;;;;;;;;
Bromus sterilis;Gold hejre;57163;;;;;;;;;
Stellaria graminea;Græsbladet fladstjerne;61948;;;;;;;;;
Carex viridula;Grøn Star;76128;;;;;;;;;
Carex canescens;Grå star;76023;;;;;;;;;
Artemisia vulgaris;Grå-bynke;52856;;;;;;;;;
Lathyrus pratensis;Gul fladbælg;125787;;;;;;;;;
Iris pseudacorus;Gul iris;47779;;;;;;;;;
Trifolium campestre;Gul kløver;57076;;;;;;;;;
Galium verum;Gul snerre;84328;;;;;;;;;
Daucus carota;Gulerod;76610;;;;;;;;;
Cytisus scoparius;Gyvel;48538;;;;;;;;;
Calystegia sepium;Gærde-snerle;57481;;;;;;;;;
Vicia sepium;Gærde-vikke;127345;;;;;;;;;
Trifolium arvense;Hare-kløver;79408;;;;;;;;;
Carex leporina;Harestar;76067;;;;;;;;;
Corylus avellana;Hassel;54491;;;;;;;;;
Hippophae rhamnoides;Havtorn;163812;;;;;;;;;
Calluna vulgaris;Hedelyng;119450;;;;;;;;;
Erodium cicutarium;Hejrenæb;47687;;;;;;;;;
Rubus idaeus;Hindbær;54436;;;;;;;;;
Carex panicea;Hirsestar;160056;;;;;;;;;
Briza media;Hjertegræs;159452;;;;;;;;;
Cirsium vulgare;Horse-tidsel;52989;;;;;;;;;
Primula veris;Hulkravet kodriver;55819;;;;;;;;;
Medicago lupulina;Humle-sneglebælg;57056;;;;;;;;;
Dactylis glomerata;Hundegræs;52720;;;;;;;;;
Agrostis canina;Hunde-hvene;158132;;;;;;;;;
Viola canina;Hunde-viol;124359;;;;;;;;;
Anemonoides nemorosa;Hvid anemone;950603;;;;;;;;;
Rhynchospora alba;Hvid næbfrø;57862;;;;;;;;;
Galium mollugo;Hvid snerre;77206;;;;;;;;;
Trifolium repens;Hvid-kløver;55745;;;;;;;;;
Luzula pilosa;Håret frytle;69613;;;;;;;;;
Pilosella officinarum;Håret høgeurt;402509;;;;;;;;;
Carex hirta;Håret star;159973;;;;;;;;;
Viola hirta;Håret viol;286612;;;;;;;;;
Trifolium fragiferum;Jordbær-kløver;58167;;;;;;;;;
Caltha palustris;Kabbeleje;56224;;;;;;;;;
Struthiopteris spicant;Kambregne;774894;;;;;;;;;
Melampyrum cristatum;Kantet kohvede;57494;;;;;;;;;
Silene conica;Kegle-limurt;61118;;;;;;;;;
Erica tetralix;Klokkelyng;162431;;;;;;;;;
Scrophularia nodosa;Knoldet brunrod;124485;;;;;;;;;
Filipendula vulgaris;Knoldet mjødurt;62020;;;;;;;;;
Ranunculus bulbosus;Knold-ranunkel;78820;;;;;;;;;
Juncus conglomeratus;Knop-siv;204335;;;;;;;;;
Alopecurus geniculatus;Knæbøjet rævehale;71140;;;;;;;;;
Goodyera repens;Knærod;62407;;;;;;;;;
Saxifraga granulata;Kornet stenbræk;124135;;;;;;;;;
Glechoma hederacea;Korsknap;55830;;;;;;;;;
Comarum palustre;Kragefod;62213;;;;;;;;;
Ononis spinosa;Krageklo;82730;;;;;;;;;
Lathyrus linifolius;Krat-fladbælg;85072;;;;;;;;;
Viola riviniana;Krat-viol;61481;;;;;;;;;
Carex lepidocarpa;Krognæb-star;635562;;;;;;;;;
Rumex crispus;Kruset skræppe;53197;;;;;;;;;
Holcus mollis;Krybende hestegræs;77427;;;;;;;;;
Ajuga reptans;Krybende læbeløs;56099;;;;;;;;;
Salix repens;Krybende Pil;321283;;;;;;;;;
Potentilla reptans;Krybende potentil;167373;;;;;;;;;
Agrostis stolonifera;Kryb-hvene;69931;;;;;;;;;
Thelypteris palustris;Kærbregne;82569;;;;;;;;;
Stachys palustris;Kær-galtetand;57457;;;;;;;;;
Equisetum palustre;Kær-padderok;76846;;;;;;;;;
Galium palustre;Kær-snerre;163184;;;;;;;;;
Carex acutiformis;Kær-star;159858;;;;;;;;;
Cirsium palustre;Kær-tidsel;160623;;;;;;;;;
Dactylorhiza incarnata;Kødfarvet gøgeurt;48982;;;;;;;;;
Cirsium oleraceum;Kål-tidsel;133653;;;;;;;;;
Plantago lanceolata;Lancetvejbred;53178;;;;;;;;;
Ranunculus repens;Lav ranunkel;48229;;;;;;;;;
Medicago minima;Liden sneglebælg;77971;;;;;;;;;
Drosera intermedia;Liden soldug;53038;;;;;;;;;
Convallaria majalis;Liljekonval;48206;;;;;;;;;
Equisetum pratense;Lund-padderok;127900;;;;;;;;;
Poa nemoralis;Lund-rapgræs;78649;;;;;;;;;
Galium saxatile;Lyngsnerre;130303;;;;;;;;;
Juncus effusus;Lyse-siv;56153;;;;;;;;;
Cynoglossum officinale;Læge-hundetunge;48152;;;;;;;;;
Anchusa officinalis;Lægeoksetunge;75430;;;;;;;;;
Veronica officinalis;Læge-ærenpris;129020;;;;;;;;;
Alliaria petiolata;Løgkarse;56061;;;;;;;;;
Epilobium hirsutum;Lådden dueurt;84517;;;;;;;;;
Maianthemum bifolium;Majblomst;50247;;;;;;;;;
Dactylorhiza majalis;Maj-gøgeurt;133492;;;;;;;;;
Luzula multiflora;Mangeblomstret frytle;164948;;;;;;;;;
Eleocharis multicaulis;Mangestænglet sumpstrå;338059;;;;;;;;;
Leymus arenarius;marehalm;164671;;;;;;;;;
Artemisia campestris;Mark-bynke;127960;;;;;;;;;
Myosotis arvensis;Mark-Forglemmigej;51726;;;;;;;;;
Luzula campestris;Mark-frytle;55795;;;;;;;;;
Viola odorata;Martsviol;55845;;;;;;;;;
Carex divulsa;Mellembrudt Star;76033;;;;;;;;;
Milium effusum;Miliegræs;165390;;;;;;;;;
Prunus cerasifera;Mirabel;55837;;;;;;;;;
Deschampsia cespitosa;Mose-bunke;76639;;;;;;;;;
Vaccinium uliginosum;Mose-bølle;64714;;;;;;;;;
Vicia cracca;Muse-vikke;52471;;;;;;;;;
Acer campestre;Navr;56193;;;;;;;;;
Melica nutans;Nikkende flitteraks;448134;;;;;;;;;
Pulsatilla pratensis;Nikkende kobjælde;57393;;;;;;;;;
Silene nutans;Nikkende limurt;124138;;;;;;;;;
Carex acuta;Nikkende star;435946;;;;;;;;;
Ranunculus auricomus;Nyrebladet ranunkel;124817;;;;;;;;;
Urtica dioica;Nælde;51884;;;;;;;;;
Bromus erectus;Opret Hejre;159458;;;;;;;;;
Pulsatilla vulgaris;Opret kobjælde;60786;;;;;;;;;
Carex pilulifera;Pillestar;437973;;;;;;;;;
Dactylorhiza maculata;Plettet gøgeurt;82159;;;;;;;;;
Hypochaeris maculata;Plettet kongepen;336279;;;;;;;;;
Ajuga pyramidalis;Pyramide-læbeløs;133012;;;;;;;;;
Potentilla recta;Rank potentil;62211;;;;;;;;;
Empetrum nigrum;Revling;76812;;;;;;;;;
Andromeda polifolia;Rosmarinlyng;119892;;;;;;;;;
Drosera rotundifolia;Rundbladet soldug;52658;;;;;;;;;
Anthyllis vulneraria;Rundbælg;82685;;;;;;;;;
Festuca rubra;Rød svingel;61061;;;;;;;;;
Lamium purpureum;Rød tvetand;55851;;;;;;;;;
Alnus glutinosa;Rød-El;966205;;;;;;;;;
Picea abies;Rød-gran;63567;;;;;;;;;
Trifolium pratense;Rød-kløver;51875;;;;;;;;;
Rumex acetosella;Rødknæ;53195;;;;;;;;;
Phalaris arundinacea;Rørgræs;63337;;;;;;;;;
Ammophila arenaria;Sand-hjælme;61055;;;;;;;;;
Lysimachia maritima;Sandkryb;204175;;;;;;;;;
Phleum arenarium;Sand-rottehale;166678;;;;;;;;;
Corynephorus canescens;Sandskæg;160927;;;;;;;;;
Carex arenaria;Sand-star;159875;;;;;;;;;
Selinum carvifolia;Seline;204409;;;;;;;;;
Ulmus glabra;Skov-elm;170056;;;;;;;;;
Stachys sylvatica;Skov-galtetand;129850;;;;;;;;;
Scirpus sylvaticus;Skov-kogleaks;84512;;;;;;;;;
Galium odoratum;Skovmærke;56065;;;;;;;;;
